# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.3, 'makespec': True, 'units': 'nm', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 30 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 2000 points.
#
# Wavelen. [nm]        Abs. [au]   
#----------------------------------
2.3142600929e+00    1.3033752173e-05
2.3141426090e+00    1.4100244948e-05
2.3140251371e+00    1.5404941505e-05
2.3139076771e+00    1.7007722165e-05
2.3137902291e+00    1.8983005694e-05
2.3136727929e+00    2.1418305372e-05
2.3135553687e+00    2.4404640275e-05
2.3134379564e+00    2.8008876364e-05
2.3133205560e+00    3.2213232684e-05
2.3132031675e+00    3.6813629732e-05
2.3130857910e+00    4.1314313307e-05
2.3129684263e+00    4.4954033059e-05
2.3128510736e+00    4.7021232309e-05
2.3127337328e+00    4.7317856799e-05
2.3126164039e+00    4.6267956387e-05
2.3124990868e+00    4.4491278459e-05
2.3123817817e+00    4.2324519597e-05
2.3122644885e+00    3.9750933408e-05
2.3121472072e+00    3.6692524457e-05
2.3120299378e+00    3.3281336494e-05
2.3119126802e+00    2.9834754966e-05
2.3117954346e+00    2.6657694980e-05
2.3116782009e+00    2.3920547516e-05
2.3115609790e+00    2.1664071964e-05
2.3114437691e+00    1.9853800191e-05
2.3113265710e+00    1.8426510330e-05
2.3112093848e+00    1.7315994093e-05
2.3110922105e+00    1.6463763927e-05
2.3109750480e+00    1.5821902132e-05
2.3108578975e+00    1.5352588519e-05
2.3107407588e+00    1.5026550536e-05
2.3106236320e+00    1.4821387005e-05
2.3105065171e+00    1.4720103318e-05
2.3103894140e+00    1.4709936450e-05
2.3102723228e+00    1.4781451584e-05
2.3101552435e+00    1.4927864338e-05
2.3100381761e+00    1.5144541353e-05
2.3099211205e+00    1.5428639404e-05
2.3098040768e+00    1.5778852194e-05
2.3096870449e+00    1.6195242170e-05
2.3095700249e+00    1.6679141483e-05
2.3094530167e+00    1.7233111690e-05
2.3093360204e+00    1.7860956245e-05
2.3092190360e+00    1.8567783672e-05
2.3091020634e+00    1.9360122789e-05
2.3089851027e+00    2.0246094844e-05
2.3088681538e+00    2.1235651273e-05
2.3087512167e+00    2.2340890225e-05
2.3086342915e+00    2.3576470639e-05
2.3085173782e+00    2.4960149870e-05
2.3084004767e+00    2.6513480450e-05
2.3082835870e+00    2.8262714514e-05
2.3081667092e+00    3.0239981951e-05
2.3080498431e+00    3.2484832199e-05
2.3079329890e+00    3.5046261962e-05
2.3078161466e+00    3.7985394293e-05
2.3076993161e+00    4.1379030607e-05
2.3075824974e+00    4.5324365804e-05
2.3074656906e+00    4.9945230014e-05
2.3073488956e+00    5.6383103900e-05
2.3072321123e+00    6.2885250480e-05
2.3071153410e+00    7.0687714333e-05
2.3069985814e+00    8.0124743642e-05
2.3068818336e+00    9.1614154738e-05
2.3067650977e+00    1.0565537718e-04
2.3066483736e+00    1.2278907983e-04
2.3065316613e+00    1.4346659990e-04
2.3064149608e+00    1.6774149777e-04
2.3062982721e+00    1.9469314558e-04
2.3061815952e+00    2.2166623062e-04
2.3060649301e+00    2.4395292770e-04
2.3059482769e+00    2.5610513317e-04
2.3058316354e+00    2.5506783086e-04
2.3057150057e+00    2.4250067020e-04
2.3055983878e+00    2.2355251704e-04
2.3054817818e+00    2.0359464654e-04
2.3053651875e+00    1.8617672076e-04
2.3052486050e+00    1.7292496469e-04
2.3051320343e+00    1.6426902583e-04
2.3050154754e+00    1.6012349382e-04
2.3048989282e+00    1.6029897386e-04
2.3047823929e+00    1.6470493585e-04
2.3046658693e+00    1.7344261553e-04
2.3045493575e+00    1.8685314185e-04
2.3044328575e+00    2.0555345540e-04
2.3043163693e+00    2.3047013824e-04
2.3041998929e+00    2.6286150711e-04
2.3040834282e+00    3.0428904142e-04
2.3039669753e+00    3.5644406361e-04
2.3038505342e+00    4.2063804866e-04
2.3037341048e+00    4.9664293951e-04
2.3036176872e+00    5.8059621358e-04
2.3035012814e+00    6.6240239365e-04
2.3033848874e+00    7.2506722324e-04
2.3032685051e+00    7.5004329236e-04
2.3031521345e+00    7.2828631585e-04
2.3030357758e+00    6.6707941447e-04
2.3029194287e+00    5.8444517872e-04
2.3028030935e+00    4.9792593338e-04
2.3026867700e+00    4.1839740959e-04
2.3025704582e+00    3.5024921602e-04
2.3024541582e+00    2.9393208287e-04
2.3023378699e+00    2.4815325750e-04
2.3022215934e+00    2.1112761814e-04
2.3021053286e+00    1.8113686661e-04
2.3019890756e+00    1.5672051026e-04
2.3018728343e+00    1.3670377060e-04
2.3017566047e+00    1.2016540267e-04
2.3016403869e+00    1.0639050569e-04
2.3015241808e+00    9.4825609132e-05
2.3014079865e+00    8.5041266456e-05
2.3012918039e+00    7.6702652277e-05
2.3011756330e+00    6.9547073308e-05
2.3010594738e+00    6.3366978475e-05
2.3009433264e+00    5.7997177352e-05
2.3008271907e+00    5.3305219866e-05
2.3007110667e+00    4.9184131743e-05
2.3005949544e+00    4.5546901825e-05
2.3004788539e+00    4.2322274133e-05
2.3003627651e+00    3.9451515270e-05
2.3002466880e+00    3.6885914577e-05
2.3001306226e+00    3.4584838007e-05
2.3000145689e+00    3.2514203064e-05
2.2998985269e+00    3.0645276071e-05
2.2997824967e+00    2.8953717827e-05
2.2996664781e+00    2.7418822021e-05
2.2995504712e+00    2.6022904267e-05
2.2994344761e+00    2.4750809712e-05
2.2993184926e+00    2.3589514697e-05
2.2992025209e+00    2.2527803695e-05
2.2990865608e+00    2.1556007052e-05
2.2989706125e+00    2.0665788505e-05
2.2988546758e+00    1.9849974035e-05
2.2987387509e+00    1.9102415812e-05
2.2986228376e+00    1.8417886763e-05
2.2985069360e+00    1.7792002886e-05
2.2983910461e+00    1.7221171940e-05
2.2982751679e+00    1.6702568645e-05
2.2981593014e+00    1.6234138238e-05
2.2980434465e+00    1.5847898551e-05
2.2979276034e+00    1.5477252750e-05
2.2978117719e+00    1.5155799583e-05
2.2976959521e+00    1.4885353280e-05
2.2975801439e+00    1.4669164291e-05
2.2974643475e+00    1.4512264252e-05
2.2973485627e+00    1.4421911048e-05
2.2972327895e+00    1.4408118862e-05
2.2971170281e+00    1.4484187067e-05
2.2970012783e+00    1.4666965526e-05
2.2968855402e+00    1.4976195784e-05
2.2967698137e+00    1.5431463156e-05
2.2966540989e+00    1.6043959620e-05
2.2965383958e+00    1.6799020678e-05
2.2964227043e+00    1.7627610905e-05
2.2963070245e+00    1.8378500544e-05
2.2961913563e+00    1.8830235369e-05
2.2960756998e+00    1.8785000591e-05
2.2959600549e+00    1.8200399417e-05
2.2958444217e+00    1.7221948924e-05
2.2957288001e+00    1.6076197691e-05
2.2956131902e+00    1.4948025851e-05
2.2954975919e+00    1.3937128248e-05
